Query File,Start Time,End Time,Execution Time
query-01.sql,2023-10-21 17:19:39.721204,2023-10-21 18:28:59.354961,4159.633757
query-02.sql,2023-10-21 18:28:59.372312,2023-10-21 18:29:01.097048,1.724736
query-03.sql,2023-10-21 18:29:01.099028,2023-10-21 18:29:01.796070,0.697042
query-04.sql,2023-10-21 18:29:01.799054,2023-10-21 20:32:34.244240,7412.445186
query-06.sql,2023-10-21 20:32:35.856214,2023-10-21 20:34:35.992311,120.136097
query-07.sql,2023-10-21 20:34:37.575527,2023-10-21 20:34:39.996573,2.421046
query-08.sql,2023-10-21 20:34:40.019928,2023-10-21 20:34:40.161556,0.141628
query-09.sql,2023-10-21 20:34:40.173559,2023-10-21 20:34:42.432079,2.25852
query-10.sql,2023-10-21 20:34:42.434093,2023-10-21 20:34:48.885259,6.451166
query-11.sql,2023-10-21 20:34:48.887261,2023-10-21 21:20:17.105800,2728.218539
query-13.sql,2023-10-21 21:20:17.127850,2023-10-21 21:20:17.740582,0.612732
query-14.sql,2023-10-21 21:20:17.744125,2023-10-21 21:21:45.384178,87.640053
query-15.sql,2023-10-21 21:21:45.399456,2023-10-21 21:21:45.635222,0.235766
query-17.sql,2023-10-21 21:21:47.217568,2023-10-21 21:21:51.930012,4.712444
query-18.sql,2023-10-21 21:21:51.942134,2023-10-21 21:21:52.427356,0.485222
query-19.sql,2023-10-21 21:21:52.456001,2023-10-21 21:21:52.747852,0.291851
query-22.sql,2023-10-21 21:21:52.790056,2023-10-21 21:22:01.655502,8.865446
query-23.sql,2023-10-21 21:22:01.670571,2023-10-21 21:22:12.570862,10.900291
query-24.sql,2023-10-21 21:22:12.582280,2023-10-21 21:22:13.191061,0.608781
query-25.sql,2023-10-21 21:22:13.204061,2023-10-21 21:22:16.380203,3.176142
query-26.sql,2023-10-21 21:22:16.394971,2023-10-21 21:22:16.915182,0.520211
query-27.sql,2023-10-21 21:22:16.927181,2023-10-21 21:22:18.108308,1.181127
query-28.sql,2023-10-21 21:22:18.134310,2023-10-21 21:22:20.497701,2.363391
query-29.sql,2023-10-21 21:22:20.531906,2023-10-21 21:22:23.376342,2.844436
query-31.sql,2023-10-21 21:22:23.424826,2023-10-21 21:22:32.047455,8.622629
query-33.sql,2023-10-21 21:22:32.087818,2023-10-21 21:22:32.532736,0.444918
query-34.sql,2023-10-21 21:22:32.545441,2023-10-21 21:22:32.826091,0.28065
query-35.sql,2023-10-21 21:22:32.841717,2023-10-21 21:22:33.828255,0.986538
query-38.sql,2023-10-21 21:22:33.874282,2023-10-21 21:22:36.081980,2.207698
query-39.sql,2023-10-21 21:22:36.100119,2023-10-21 21:22:43.328957,7.228838
query-41.sql,2023-10-21 21:22:43.363990,2023-10-21 21:22:44.530546,1.166556
query-42.sql,2023-10-21 21:22:44.542553,2023-10-21 21:22:44.810425,0.267872
query-43.sql,2023-10-21 21:22:44.818210,2023-10-21 21:22:45.665413,0.847203
query-44.sql,2023-10-21 21:22:45.667029,2023-10-21 21:22:45.883047,0.216018
query-45.sql,2023-10-21 21:22:45.904897,2023-10-21 21:22:46.024519,0.119622
query-46.sql,2023-10-21 21:22:46.030962,2023-10-21 21:22:46.650341,0.619379
query-47.sql,2023-10-21 21:22:46.667290,2023-10-21 21:22:48.960808,2.293518
query-48.sql,2023-10-21 21:22:48.968637,2023-10-21 21:22:49.631433,0.662796
query-49.sql,2023-10-21 21:22:49.653264,2023-10-21 21:22:49.824837,0.171573
query-50.sql,2023-10-21 21:22:49.838256,2023-10-21 21:22:49.915988,0.077732
query-51.sql,2023-10-21 21:22:49.931397,2023-10-21 21:22:51.365022,1.433625
query-52.sql,2023-10-21 21:22:51.385258,2023-10-21 21:22:51.664531,0.279273
query-53.sql,2023-10-21 21:22:51.709269,2023-10-21 21:22:52.251087,0.541818
